"region"	"materiale"	"behandling"	"nedstrømsløsning"	"Mengd (tonn) 2015"	"Mengd (tonn) 2016"	"Mengd (tonn) 2017"	"Mengd (tonn) 2018"	"Mengd (tonn) 2019"	"Mengd (tonn) 2020"	"Mengd (tonn) 2021"	"Mengd (tonn) 2022"	"Mengd (tonn) 2023"	"Mengd (tonn) 2024"
"EAK Landet"	"2.06 Matavfall"	"Materialgjenvinning"	"I alt"	296.5	1648.0	635.7	289.0	1.6	0.0	0.0	0.0	56.0	0.0
"EAK Landet"	"2.06 Matavfall"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	0.0	0.0	0.0	56.0	0.0
"EAK Landet"	"2.06 Matavfall"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.06 Matavfall"	"Forbrenning"	"I alt"	4064.0	6042.0	3280.2	935.2	667.3	2324.0	2321.0	2357.0	145.0	1523.0
"EAK Landet"	"2.06 Matavfall"	"Forbrenning"	"Henteordning"	.	.	.	.	.	2324.0	2321.0	2357.0	145.0	1523.0
"EAK Landet"	"2.06 Matavfall"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.06 Matavfall"	"Deponi"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.06 Matavfall"	"Deponi"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.06 Matavfall"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.06 Matavfall"	"Biogassproduksjon"	"I alt"	92371.7	104579.9	108027.8	119401.4	159015.0	157396.0	163767.0	157224.0	169054.0	174984.0
"EAK Landet"	"2.06 Matavfall"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	157396.0	163767.0	157224.0	169054.0	174984.0
"EAK Landet"	"2.06 Matavfall"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.06 Matavfall"	"Kompostering"	"I alt"	83710.3	76582.9	79230.9	79677.2	48899.6	49701.0	45643.0	42063.0	48948.0	33087.0
"EAK Landet"	"2.06 Matavfall"	"Kompostering"	"Henteordning"	.	.	.	.	.	49701.0	45643.0	42063.0	48948.0	33087.0
