"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"TJENESTEYTENDE NÆRINGER";"2013K2";34.0;.;100.0
"TJENESTEYTENDE NÆRINGER";"2013K3";31.1;.;100.0
"TJENESTEYTENDE NÆRINGER";"2013K4";34.5;.;100.0
"TJENESTEYTENDE NÆRINGER";"2014K1";29.9;.;100.0
"TJENESTEYTENDE NÆRINGER";"2014K2";24.4;.;100.0
"TJENESTEYTENDE NÆRINGER";"2014K3";30.0;.;100.0
"TJENESTEYTENDE NÆRINGER";"2014K4";30.5;.;100.0
"TJENESTEYTENDE NÆRINGER";"2015K1";29.1;.;100.0
"TJENESTEYTENDE NÆRINGER";"2015K2";23.5;.;100.0
"TJENESTEYTENDE NÆRINGER";"2015K3";18.1;.;100.0
"TJENESTEYTENDE NÆRINGER";"2015K4";25.0;.;100.0
"TJENESTEYTENDE NÆRINGER";"2016K1";27.3;.;100.0
"TJENESTEYTENDE NÆRINGER";"2016K2";25.9;.;100.0
"TJENESTEYTENDE NÆRINGER";"2016K3";27.2;.;100.0
"TJENESTEYTENDE NÆRINGER";"2016K4";35.5;.;100.0
"TJENESTEYTENDE NÆRINGER";"2017K1";30.9;.;100.0
"TJENESTEYTENDE NÆRINGER";"2017K2";29.4;.;100.0
"TJENESTEYTENDE NÆRINGER";"2017K3";29.8;.;100.0
"TJENESTEYTENDE NÆRINGER";"2017K4";32.8;.;100.0
"TJENESTEYTENDE NÆRINGER";"2018K1";39.0;.;100.0
"TJENESTEYTENDE NÆRINGER";"2018K2";40.8;.;100.0
"TJENESTEYTENDE NÆRINGER";"2018K3";51.0;.;100.0
"TJENESTEYTENDE NÆRINGER";"2018K4";50.7;.;100.0
"TJENESTEYTENDE NÆRINGER";"2019K1";51.1;.;100.0
