"03024: Eksport av oppalen laks, etter varegruppe, uke og statistikkvariabel"

"varegruppe";"uke";"Vekt (tonn)";"Kilopris (kr)"
"Fersk oppalen laks";"2009U46";12702;28.52
"Fersk oppalen laks";"2009U47";14181;28.20
"Fersk oppalen laks";"2009U48";14963;28.55
"Fersk oppalen laks";"2009U49";15027;27.69
"Fersk oppalen laks";"2009U50";16657;28.48
"Fersk oppalen laks";"2009U51";17766;28.95
"Fersk oppalen laks";"2009U52";8265;30.68
"Fersk oppalen laks";"2009U53";7552;30.88
"Fersk oppalen laks";"2010U01";11067;29.82
"Fersk oppalen laks";"2010U02";10808;28.17
"Fersk oppalen laks";"2010U03";10891;28.92
"Fersk oppalen laks";"2010U04";10967;29.69
"Fersk oppalen laks";"2010U05";10826;31.84
"Fersk oppalen laks";"2010U06";10929;34.23
"Fersk oppalen laks";"2010U07";10891;34.88
"Fersk oppalen laks";"2010U08";9293;33.76
"Fersk oppalen laks";"2010U09";10902;35.37
"Fersk oppalen laks";"2010U10";11640;35.87
"Fersk oppalen laks";"2010U11";11921;36.65
"Fersk oppalen laks";"2010U12";13320;35.12
"Fersk oppalen laks";"2010U13";7751;38.46
"Fersk oppalen laks";"2010U14";9929;39.26
"Fersk oppalen laks";"2010U15";11632;39.60
"Fersk oppalen laks";"2010U16";11073;37.92
"Fersk oppalen laks";"2010U17";10955;38.62
"Fersk oppalen laks";"2010U18";11785;38.87
"Fersk oppalen laks";"2010U19";10533;39.51
"Fersk oppalen laks";"2010U20";10629;41.78
